question_id,paper_number,paper_name,question_number,marks,question_type,difficulty_level,estimated_time_minutes,topic_1,topic_2,topic_3,question_text,requirements,key_points
CAP2_DEC2022_AA_Q1,1,Advanced Accounting,1,20,Comprehensive,Hard,45,Partnership accounting,Goodwill calculation,Company conversion,"Balance Sheet of M/s P and Q as on 31st March 2012 given. Mr. R to be admitted for 1/4 share from 1st April 2012. Goodwill to be valued at 3 years purchase of average profits from last 5 years.","1) Prepare P&L Account for year ended 31st March 2013, 2) Prepare Balance Sheet of Company as on 1st April 2013","Working notes showing goodwill calculation, Partners Capital Accounts, Share distribution, Cash balance, Depreciation calculations"

CAP2_DEC2022_AA_Q2A,1,Advanced Accounting,2a,10,Problem-solving,Hard,35,Amalgamation of companies,Realization account,Purchase consideration,"X Ltd. and Y Ltd. amalgamate to form XY Ltd. Detailed balance sheets of both companies given. Shares to be issued at premium. Assets and liabilities taken at book values.","Prepare realization accounts in the books of X Ltd and Y Ltd to close their books.","Working notes for purchase consideration, Valuation adjustments for debtors and stock, Calculation of shares to be issued"

CAP2_DEC2022_AA_Q2B,1,Advanced Accounting,2b,10,Problem-solving,Medium,35,Branch accounting,Inter-company transactions,Unrealized profit,"Rajan (Pvt) Ltd has Head Office and Branch in Chitwan. Goods sent from HO to Branch at cost plus 10%. HO makes gross profit of 33.33% on selling price.","Prepare memorandum Trading and P&L Account of Head Office and Branch in columnar form for year ended 31st Ashad 2079.","Calculation of opening/closing stock, Unrealized profit elimination, Cost price calculation, Gross profit determination"

CAP2_DEC2022_AA_Q3A,1,Advanced Accounting,3a,10,Problem-solving,Medium,40,Trial balance adjustments,Final accounts,Depreciation,"Trial Balance of proprietorship firm XYA given with multiple adjusting items including opening stock revaluation, pilferage, furniture destruction.","1) Prepare Trading and P&L Account for year ended 31st December 2016, 2) Prepare Balance Sheet as at that date","Opening stock adjustment, Depreciation calculation, Provision for doubtful debts, Bad debts, Suspense account adjustment"

CAP2_DEC2022_AA_Q3B,1,Advanced Accounting,3b,5,Calculation,Medium,20,Hire purchase,Depreciation,Asset valuation,"X purchased 3 plants from Y on hire purchase basis. Cash price Rs 100,000 each. Depreciation 20% diminishing balance (hire purchaser), 30% (hire vendor).","1) Agreed value of 2 plants taken back, 2) Book value of plant left, 3) Profit/loss to hire purchaser, 4) Profit/loss on resale","Depreciation calculation year by year, Agreed value at 30% diminishing balance, Book value at 20% depreciation, Profit/loss determination"

CAP2_DEC2022_AA_Q4A,1,Advanced Accounting,4a,10,Financial Analysis,Hard,45,Ratio analysis,Working capital,Current assets,"Financial ratios given: Current Ratio 2, Working Capital Rs 400,000, Capital Block to Current Asset 3:2, Fixed Assets to Turnover 1:3.","Prepare the Financial Position (Capital & Liabilities statement and Assets statement) based on the ratios given.","Solving simultaneous equations from ratios, Calculation of share capital, turnover, net profit, reserve, cash, debtors, stock, creditors"

CAP2_DEC2022_AA_Q4B,1,Advanced Accounting,4b,5,Calculation,Medium,15,Liquidation,Share capital calls,Deficiency,"Liquidator has Rs 330,000. Capital: 30,000 10% Preference Shares Rs 10 each, 3 classes of 30,000 Equity Shares each with different face and paid-up values.","Prepare Liquidators Final Statement of Accounts showing receipt and payment.","Calculation of calls made, Deficiency percentage, Refund and call amounts for each share class"

CAP2_DEC2022_AA_Q5A,1,Advanced Accounting,5a,5,Concept-based,Easy,12,Revenue recognition,NAS-18,Significant risks,"Company dispatched goods worth Rs 10 crore through bank for collection. Documents not cleared after 15 days normal collection period.","Should revenue be recognized? Explain with reference to NAS-18.","Recognition criteria per NAS-18: Transfer of risks and rewards, Effective control, Probable economic benefits, Reliable measurement"

CAP2_DEC2022_AA_Q5B,1,Advanced Accounting,5b,5,Calculation,Easy,12,Inventory valuation,NAS-2,Lower of cost and NRV,"600 units raw material A at Rs 120 (cost), replacement Rs 90. 500 units partly finished at Rs 260 per unit, additional cost Rs 60. 1500 units finished product X at Rs 320 per unit, selling price Rs 300.","Determine how each inventory item will be valued as on 31-3-2079. Calculate total inventory value.","Application of lower of cost and NRV rule, Calculation of NRV for partly finished goods, Write-down to replacement cost"

CAP2_DEC2022_AA_Q5C,1,Advanced Accounting,5c,5,Journal entries,Easy,12,Foreign exchange,Exchange gains/losses,Monetary items,"AD Limited exported goods for $10,000 on 20.2.2078, settled on 20.5.2078. Exchange rates: 20.2 Rs 110, 31.3 Rs 115, 20.5 Rs 112.","Give journal entries on transaction date, year end and settlement date.","Exchange gain/loss calculation, Treatment of monetary items, Debtor revaluation at closing rate"

CAP2_DEC2022_AA_Q6,1,Advanced Accounting,6,15,Short notes,Easy,25,Off-balance sheet items,Capital fund banking,Investment classification,"Write short notes on: a) Off Balance Sheet Items, b) Capital Fund in Banks, c) Held for Trading Investments, d) Recognition of Premium Income by Insurance Companies, e) Inter-departmental transfers","5 short notes of 3 marks each.","Off-balance sheet: Contingent assets/liabilities. Capital Fund: Tier-I and Tier-II. HTI: Short-term fluctuation gains. Premium: Cash basis recognition. Inter-departmental: Transfer pricing"

CAP2_DEC2022_AUD_Q1A,2,Audit and Assurance,1a,5,Analysis,Medium,12,Going concern,NSA 570,Audit opinion,"Subhakamana Sugar Mills closed for 11 months. Will take 2 years to restart. Substantial modification cost needed. Bank issued auction notice if loan not repaid in 3 months.","As an auditor, give your opinion with explanation on the going concern issue.","NSA 570 requirements, Assessment of going concern, Material uncertainties, Modified opinion possibility, Management assessment evaluation"

CAP2_DEC2022_AUD_Q1B,2,Audit and Assurance,1b,5,Analysis,Medium,12,Inventory losses,NAS-2,Write-off,"Palpa Limited: Inventory Rs 8,500 destroyed, Rs 7,000 given to NGO free, Rs 5,400 damaged and can be reworked at Rs 900 and sold for Rs 4,300.","As auditor, give opinion on the inventory items not considered in accounts.","NAS-2 requirements for inventory write-off, Expense recognition timing, Calculation of loss amounts, Proper accounting treatment"

CAP2_DEC2022_AUD_Q1C,2,Audit and Assurance,1c,5,Analysis,Medium,12,Depreciation change,NAS-8,Useful life revision,"Dharan Limited acquired machine for Rs 80,000 in 2071. Useful life 8 years, straight line depreciation. In 2078/79, technical examination shows remaining life 5 years.","As auditor, give opinion on the depreciation treatment by the accountant.","NAS-8 change in estimate, Prospective accounting, Revised depreciation calculation, Carrying amount determination"

CAP2_DEC2022_AUD_Q1D,2,Audit and Assurance,1d,5,Analysis,Easy,12,Shareholder compliance,Companies Act,Private company limits,"Himalaya Fashion has 115 shareholders including 11 employees in FY 2075/76.","As auditor for FY 2075/76, comment on the shareholder situation.","Companies Act section 9(1) amendment 2074: Max 101 shareholders (excluding employees), Non-compliance consequence, Auditor responsibility"

CAP2_DEC2022_AUD_Q2A,2,Audit and Assurance,2a,5,Professional Opinion,Medium,12,Fraud detection,NSA 240,Auditor responsibility,"After statutory audit completion, fraud detected at auditee office. Management claims auditor failed to detect fraud.","Give comments on the management's allegation with reference to NSA 240.","NSA 240: Primary responsibility of management, Reasonable assurance vs absolute, Inherent audit limitations, Sophistication of fraud, Auditor liability conditions"

CAP2_DEC2022_AUD_Q2B,2,Audit and Assurance,2b,5,Professional Opinion,Medium,12,Material misstatement,NSA 705,Qualified opinion,"Auditor cannot obtain evidence on Rs 1 lakh business promotion expense. Company earned Rs 1 billion profit with Rs 10 billion assets. Management claims expense is genuine but invoices misplaced.","Comment on auditor's decision to qualify the audit report. Is it appropriate?","NSA 705 modification criteria, Materiality assessment (1 lakh vs 1 billion profit), Immaterial misstatement implications, Management letter alternative"

CAP2_DEC2022_AUD_Q2C,2,Audit and Assurance,2c,5,Professional Opinion,Easy,12,Written representations,NSA 580,Management acknowledgement,"CA K (reappointed auditor) wants management to reconfirm written representations about their financial statement preparation responsibilities.","Under what circumstances can auditor ask management to reconfirm responsibilities in written representations?","NSA 580 circumstances: Changed responsible persons, Prepared in previous year, Indication of misunderstanding, Changed circumstances"

